Sample,Sex,Family,Plate,Initial area (mm^2),Initial perimeter (mm),Initial Circularity,1 week area (mm^2),1 week perimeter (mm),Week_1_Circularity,Week_2_area,Week_2_ perimeter ,Week_2_Circularity,Week_3_area,Week_3_perimeter,Week_3_Circularity,7 days,8 days,9 days,10 days,11 days,12 days,13 days,14 days,15 days,16 days,17 days,18 days,19 days,20 days,21 days,Days_until_gametophores,Total_Gametophores
P_11_16_14,m,4,9A,0.033190412,0.729198897,0.783989549,0.090377817,1.409766597,0.571159038,0.252705895,4.347615524,0.167920126,0.641756699,6.447030336,0.193928046,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,100,0
P_11_16_14,m,4,9B,0.031860262,0.698661465,0.819795249,0.076207647,1.399475348,0.488717267,0.260881341,3.327167552,0.295994277,0.556156564,4.997242214,0.279721537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,0
P_11_16_14,m,4,9C,0.015984423,0.480191027,0.870679888,0.031602375,0.469832515,1.798138869,0.253099511,4.088181879,0.190204386,0.566046727,5.623932199,0.224782124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
P_11_16_15,m,4,15A,0.014523067,0.454698325,0.882269528,0.041239177,1.038743526,0.480046126,0.367904132,4.04277931,0.282725015,1.070766297,4.568372906,0.644408467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
P_11_16_15,m,4,15B,0.023214286,0.587677406,0.844242056,0.064679679,1.314522096,0.470134059,0.347929259,4.507701621,0.215065263,0.943791255,4.282504877,0.64635313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
P_11_16_15,m,4,15C,0.020178467,0.552297034,0.830868691,0.043949245,0.814152149,0.832779275,0.239083168,3.80978005,0.206889683,0.752643258,5.413533329,0.322564958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
P_11_16_18,f,4,7C,0.018649247,0.536624739,0.813410104,0.036651517,0.815161095,0.692778978,0.4131971,3.643169436,0.39101027,1.002313335,4.845900316,0.53609801,0,0,0,0,0,0,1,1,1,1,1,,1,5,15,100,0
P_11_16_18,f,4,7B,0.020255381,0.590233403,0.730268358,0.057449816,1.325485976,0.410703123,0.3617963,3.763234008,0.320871623,0.876668443,5.017353871,0.437396746,0,0,0,0,0,0,0,0,0,0,0,,1,1,2,100,0
P_11_16_18,f,4,7A,0.026869937,0.659514361,0.775903603,0.044053304,0.998318423,0.555175069,0.159599913,2.014057981,0.494172248,0.626586654,3.770700209,0.553511654,0,0,0,1,1,0,0,0,1,1,1,,1,1,1,100,0
P_11_16_20,m,4,11A,0.012423783,0.424766261,0.864855323,0.050364731,1.031546378,0.594481901,0.276223311,2.969328042,0.393489915,0.835895271,5.72751732,0.32004326,0,0,,,1,1,1,1,1,1,1,1,1,1,1,100,0
P_11_16_20,m,4,11B,0.011193168,0.399139033,0.882458419,0.04015334,0.881415215,0.649157729,0.310368354,4.614246317,0.183090379,0.739364379,5.78280756,0.277696677,0,0,,,0,0,0,0,0,0,0,0,0,0,0,100,0
P_11_16_20,m,4,11C,0.01104839,0.396515773,0.882607635,0.025408581,0.6344925,0.792714988,0.216683259,2.379161902,0.480802819,0.63020611,4.944978812,0.323700506,0,0,,,0,0,0,0,0,0,0,0,0,0,0,100,0
P_11_16_5,f,4,3B,0.021974622,0.584919621,0.806712304,0.045677535,0.993475483,0.581270109,0.368632547,4.822627295,0.19907463,0.810360009,7.142799489,0.199494406,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0
P_11_16_5,f,4,3C,0.014323997,0.456985269,0.861488461,0.053545328,1.086500303,0.569706947,0.273223687,3.42234479,0.292995172,0.757009227,4.089056299,0.568649462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
P_11_16_5,f,4,3A,0.020798299,0.620972624,0.677442676,0.063059973,1.490415013,0.356557014,0.36578675,5.695163786,0.14164628,1.00117773,7.71762965,0.211121738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
P_11_16_7,f,4,12A,0.024028664,0.583574359,0.886190019,0.077144181,1.404251026,0.491363974,0.428217842,3.701284725,0.392599198,0.558531832,7.761619695,0.116448219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
P_11_16_7,f,4,12B,0.022065109,0.576242685,0.834612455,0.059001657,1.189883635,0.523413438,0.368162018,2.961256474,0.527322831,0.679367371,4.319163247,0.457398869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
P_11_16_7,f,4,12C,0.016418757,0.492298379,0.8508894,0.043510386,0.87845564,0.708178767,0.2330432,1.986412861,0.741800358,0.396036354,2.985336652,0.55813347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
P_14_11_14,m,5,9C,0.012505221,0.429205623,0.852609542,0.023549086,1.135333288,0.229465261,0.1966179,3.18100491,0.244052923,0.333989829,3.37384812,0.368529132,1,1,1,1,0,1,1,2,2,3,3,3,3,3,3,7,0
P_14_11_14,m,5,9B,0.0314395,0.68648685,0.837916656,0.053672008,0.941010291,0.761287573,0.252977354,2.665837089,0.447099387,0.628301371,3.52895675,0.633672668,0,0,0,0,0,0,0,2,2,3,3,6,6,7,8,100,0
P_14_11_14,m,5,9A,0.028711335,0.654267842,0.84242622,0.054929769,0.993677272,0.698725677,0.337754063,3.109437008,0.438759664,0.646679159,3.807493106,0.560273721,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,100,0
P_14_11_15,m,5,13A,0.029285924,0.71238313,0.724805217,0.070968484,1.406403444,0.450645797,0.425521347,3.39886998,0.462638625,0.992961565,4.544023677,0.604005519,0,0,0,0,0,0,0,0,0,,6,8,11,15,18,100,0
