Sample,Sex,Family,Plate,Week_3_area,Week_3_perimeter,Week_3_Circularity,Days_until_gametophores,Total_Gametophores
P_17_2_18,f,14,5C,0.824104893,4.41662743,0.530628536,100,0
P_17_2_18,f,14,5A,0.641458094,4.147709693,0.468318405,100,0
P_17_2_20,f,14,3B,0.885572305,5.907176969,0.318752575,100,0
P_17_2_20,f,14,3A,0.816114944,7.900517926,0.164221436,100,0
P_17_2_20,f,14,3C,0.828932343,6.687697585,0.232785257,100,0
P_17_2_22,f,14,7B,1.017352174,5.766395372,0.384283842,100,0
P_17_2_22,f,14,7A,0.884947949,4.325015134,0.594199256,100,0
P_17_2_22,f,14,7C,0.894878831,4.816842672,0.484427681,100,0
P_17_2_25,f,14,10B,0.046853858,1.305105267,0.345496708,100,0
P_17_2_25,f,14,10A,0.319742745,37.53608663,0.002850312,100,0
P_17_2_25,f,14,10C,0.23843619,1.287953185,1.805351029,100,0
P_17_2_8,m,14,1A,0.792647296,4.327907446,0.531512757,100,0
P_17_2_8,m,14,1B,0.563793616,3.174614919,0.702631616,100,0
P_17_2_8,m,14,1C,0.622677641,3.751261182,0.555774101,100,0
P_18_1_1 B,f,15,8C,0.878758679,5.983587812,0.308273312,100,0
P_18_1_1 B,f,15,8A,0.805899029,6.255868702,0.258639601,100,0
P_18_1_1 B,f,15,8B,0.765709494,5.015335979,0.382343409,100,0
P_18_1_11_B,f,15,28B,0.094617105,1.845227685,0.349027278,7,0
P_18_1_11_B,f,15,28C,0.115152993,1.731956683,0.482159602,100,0
P_18_1_11_B,f,15,28A,0.292931625,3.323938925,0.33300429,100,0
P_18_1_12B,m,15,27C,0.346834373,3.258693751,0.410227411,7,0
P_18_1_12B,m,15,27A,0.478365405,4.723145221,0.269331287,100,0
P_18_1_12B,m,15,27B,0.786521367,6.057442658,0.269228816,100,0
P_18_1_13B,m,15,28B,0.912709177,4.984327706,0.461433244,7,0
P_18_1_13B,m,15,28C,0.899959643,6.027712383,0.311105459,100,0
P_18_1_13B,m,15,28A,1.18249438,6.079841259,0.401794737,100,0
P_18_1_16_B,m,15,25B,0.49842624,6.558888814,0.145522451,100,0
P_18_1_16_B,m,15,25A,0.741042902,6.733301944,0.205294262,100,0
P_18_1_16_B,m,15,25C,0.604761334,5.478845766,0.253043686,100,0
P_18_1_4_B,f,15,24B,0.269898311,2.382794108,0.597058343,7,0
P_18_1_4_B,f,15,24A,0.31518223,2.646398063,0.56525059,100,0
P_18_1_4_B,f,15,24C,0.27123751,2.247998924,0.674135488,100,0
P_18_1_9_B,f,15,23A,1.032902262,8.253649021,0.190439431,18,0
P_18_1_9_B,f,15,23B,0.907632889,6.479787449,0.27150532,100,0
P_18_1_9_B,f,15,23C,1.035150849,4.564269859,0.62409493,100,0
P_18_2_12,f,16,7A,0.889336539,4.905159077,0.46424751,100,0
P_18_2_12,f,16,7B,0.746200627,4.001345261,0.585373685,100,0
P_18_2_12,f,16,7C,0.7403914,3.753010022,0.660224378,100,0
P_18_2_13,m,16,3C,1.259670231,8.69395305,0.209320578,100,0
P_18_2_13,m,16,3A,1.155135816,8.015672294,0.225809798,100,0
P_18_2_13,m,16,3B,1.213219037,8.589964351,0.2065124,100,0
P_18_2_16,m,16,9A,0.5602375,3.986950965,0.442669934,100,0
P_18_2_16,m,16,9B,0.435266733,3.447770229,0.459905374,100,0
P_18_2_16,m,16,9C,0.495508054,4.307930315,0.335353635,100,0
P_18_2_2,f,16,4B,0.743535802,5.036725634,0.368124681,100,0
P_18_2_2,f,16,4C,0.760755364,4.554247663,0.460682139,100,0
P_18_2_2,f,16,4A,0.688149076,4.537162844,0.419858971,100,0
P_18_2_3,f,16,13C,0.603304503,3.966637519,0.481594119,7,0
P_18_2_3,f,16,13A,0.503692549,3.589762561,0.490934687,100,0
P_18_2_3,f,16,13B,0.630378034,3.70666577,0.57626714,100,0
P_18_2_4,m,16,10A,0.540135947,4.046613305,0.414294636,100,0
P_18_2_4,m,16,10B,0.029181864,0.856258828,0.499910832,100,0
P_18_2_4,m,16,10C,0.166793582,2.553507769,0.321288076,100,0
P_18_2_6,f,16,12B,1.142960871,9.029124908,0.176087967,100,19
P_18_2_6,f,16,12C,0.962969848,9.257550279,0.141127019,100,0
P_18_2_6,f,16,12A,0.902665186,8.590233403,0.153640745,100,0
P_18_2_9,m,16,11A,0.844686025,5.215040022,0.390094347,100,0
P_18_2_9,m,16,11C,0.842926064,6.848456313,0.225732319,100,0
P_18_2_9,m,16,11B,0.738165434,5.323266294,0.32718016,100,0
P_2_1_1 B,m,17,22C,0.496141459,3.619021995,0.475787155,7,20
P_2_1_1 B,m,17,22B,0.457965246,3.568305643,0.451749903,9,21
P_2_1_1 B,m,17,22A,0.587365323,4.425506155,0.376679551,9,20
P_2_1_10B,m,17,17C,0.941452182,4.506692675,0.582199756,100,0
P_2_1_10B,m,17,17A,0.809152015,4.447702966,0.51374571,100,0
P_2_1_10B,m,17,17B,0.729899501,4.146633484,0.533164722,100,0
P_2_1_2B,f,17,21A,0.672870448,3.707943768,0.614688114,100,0
P_2_1_2B,f,17,21B,0.618053786,3.814152149,0.533604992,100,0
P_2_1_2B,f,17,21C,0.525925057,3.162036726,0.66066254,100,0
P_2_1_3_B,m,17,9A,0.458114549,7.345059528,0.106653002,100,0
P_2_1_3_B,m,17,9B,0.303129442,3.85323199,0.256429181,100,0
P_2_1_3_B,m,17,9C,0.527354742,6.418241743,0.160790488,100,0
P_2_1_4_B,f,17,15B,0.63818701,3.30187664,0.735217629,100,0
P_2_1_4_B,f,17,15C,0.641847185,3.660388781,0.601681764,100,0
P_2_1_4_B,f,17,15A,0.015242434,0.467545571,0.875782118,100,0
P_2_1_6B,f,17,4C,0.678788258,3.687832111,0.626876049,100,0
P_2_1_6B,f,17,4B,0.679091388,3.777426515,0.597758573,100,0
P_2_1_6B,f,17,4A,0.610271956,3.834062017,0.521428525,100,0
P_2_1_7_B,m,17,10A,0.184139825,3.449519069,0.194365986,100,0
P_2_1_7_B,m,17,10B,0.563010909,3.555996502,0.559221421,100,0
P_2_1_7_B,m,17,10C,1.381098456,7.559561445,0.303543597,100,0
P_2_1_9 B,f,17,1B,0.404519454,3.946122284,0.326278136,100,0
P_2_1_9 B,f,17,1C,0.78201062,4.092688505,0.586387774,100,0
P_2_1_9B,f,17,1A,0.889250577,4.275644044,0.610957093,100,0
P_2_13_13,m,18,2C,0.710820444,4.814892043,0.385102592,7,0
P_2_13_13,m,18,2B,0.606308651,5.046142463,0.299064174,7,0
P_2_13_13,m,18,2A,0.625138871,4.925203471,0.323681434,100,0
P_2_13_14,m,18,1C,0.78360318,4.31088989,0.529604869,100,0
P_2_13_14,m,18,1B,0.815599171,4.356426986,0.539766014,100,0
P_2_13_14,m,18,1A,0.76304467,4.400686083,0.494878769,100,0
